candidate,round,source_replicate,heldout_replicate,cross_score,baseline_score,cross_minus_baseline,random_mean,random_std,random_p90,random_p95,cross_percentile,cross_minus_baseline_random_std,cross_above_baseline,cross_above_random_p90,heldout_G,baseline_G,G_vs_baseline,random_G_mean,random_G_std,random_G_p90,random_G_p95,G_quality_percentile,heldout_A,baseline_A,A_vs_baseline,random_A_mean,random_A_std,random_A_p90,random_A_p95,A_quality_percentile,heldout_adapted_loss,baseline_adapted_loss,adapted_loss_vs_baseline,random_adapted_loss_mean,random_adapted_loss_std,random_adapted_loss_p90,random_adapted_loss_p95,adapted_loss_quality_percentile
G,30,1,2,2.2291225585190135,0.2420178436877084,1.9871047148313052,0.07488745400313386,1.1065291713558791,1.4806793315878948,1.8895777557836888,97.9,1.7957996646364216,True,True,-135.73350179195404,-161.79875721931458,26.06525542736054,-163.99104042627812,14.514567488037546,-145.55098334550857,-140.18737981170418,97.9,-135.78774585723878,-161.9546890258789,26.16694316864013,-164.15838809318544,14.55902820739019,-145.68309815406798,-140.2845051908493,97.9,137.45855464935303,163.62549781799316,-26.16694316864013,165.8291968852997,14.55902820739019,185.6134324359894,190.20743675231932,97.9
A,30,1,2,2.2358135124096927,0.2428137224382389,1.9929997899714538,0.07496944081936988,1.1088853586188705,1.48213606058913,1.8933187720160742,97.9,1.7973001216769224,True,True,-135.73350179195404,-161.79875721931458,26.06525542736054,-163.99104042627812,14.514567488037546,-145.55098334550857,-140.18737981170418,97.9,-135.78774585723878,-161.9546890258789,26.16694316864013,-164.15838809318544,14.55902820739019,-145.68309815406798,-140.2845051908493,97.9,137.45855464935303,163.62549781799316,-26.16694316864013,165.8291968852997,14.55902820739019,185.6134324359894,190.20743675231932,97.9
C,30,1,2,7.170907964592421,-3.1011438715900694,10.27205183618249,-0.09844875322712145,1.8867605476269973,2.40788173050801,3.111132199747376,100.0,5.444279534624455,True,True,-204.96494903564454,-161.79875721931458,-43.166191816329956,-163.99104042627812,14.514567488037546,-145.55098334550857,-140.18737981170418,0.1,-205.34526405334472,-161.9546890258789,-43.390575027465815,-164.15838809318544,14.55902820739019,-145.68309815406798,-140.2845051908493,0.1,207.01607284545898,163.62549781799316,43.390575027465815,165.8291968852997,14.55902820739019,185.6134324359894,190.20743675231932,0.1
G+C,30,1,2,2.0502164075964595,-0.5332681242098087,2.5834845318062682,0.05027526569635341,0.9557933444472959,1.2392456849641829,1.5661488218679804,99.0,2.7029739711152865,True,True,-147.35397976636887,-161.79875721931458,14.444777452945715,-163.99104042627812,14.514567488037546,-145.55098334550857,-140.18737981170418,87.4,-147.57162437438964,-161.9546890258789,14.383064651489263,-164.15838809318544,14.55902820739019,-145.68309815406798,-140.2845051908493,87.1,149.2424331665039,163.62549781799316,-14.383064651489263,165.8291968852997,14.55902820739019,185.6134324359894,190.20743675231932,87.1
A+C,30,1,2,2.0452867427211188,-0.5324722454592785,2.5777589881803973,0.05035725251258939,0.957092967244451,1.2386265888235264,1.571448323167521,98.9,2.6933214185054313,True,True,-147.35397976636887,-161.79875721931458,14.444777452945715,-163.99104042627812,14.514567488037546,-145.55098334550857,-140.18737981170418,87.4,-147.57162437438964,-161.9546890258789,14.383064651489263,-164.15838809318544,14.55902820739019,-145.68309815406798,-140.2845051908493,87.1,149.2424331665039,163.62549781799316,-14.383064651489263,165.8291968852997,14.55902820739019,185.6134324359894,190.20743675231932,87.1
G+A,30,1,2,4.464936070928706,0.4848315661259466,3.9801045048027595,0.14985689482250378,2.2154111880836647,2.9635529793566207,3.7818131544562537,97.9,1.7965534011072493,True,True,-135.73350179195404,-161.79875721931458,26.06525542736054,-163.99104042627812,14.514567488037546,-145.55098334550857,-140.18737981170418,97.9,-135.78774585723878,-161.9546890258789,26.16694316864013,-164.15838809318544,14.55902820739019,-145.68309815406798,-140.2845051908493,97.9,137.45855464935303,163.62549781799316,-26.16694316864013,165.8291968852997,14.55902820739019,185.6134324359894,190.20743675231932,97.9
Full,30,2,0,5.866432896695846,1.3731549182774014,4.493277978418445,0.05230951122960541,2.9317529496034926,3.6158898941458015,4.323603730754518,98.8,1.5326250388956348,True,True,-191.3262079000473,-220.236661028862,28.91045312881468,-234.74824118965864,21.64949362354787,-208.45997564315795,-202.1819253310561,99.1,-191.46612683534622,-220.39106122255325,28.92493438720703,-234.94573897714616,21.684280097165477,-208.53486672639846,-202.32628653764726,99.1,192.99071197509767,221.9156463623047,-28.92493438720703,236.4703241168976,21.684280097165477,266.5989616394043,273.16350313186643,99.1
G,30,2,0,2.1114828978892657,0.7065503504106153,1.4049325474786505,0.016652647865005362,1.0292425598496349,1.2664279172347135,1.5648938622794637,99.2,1.365015985817669,True,True,-190.6847561478615,-220.236661028862,29.551904881000496,-234.74824118965864,21.64949362354787,-208.45997564315795,-202.1819253310561,99.2,-190.76982251405715,-220.39106122255325,29.621238708496094,-234.94573897714616,21.684280097165477,-208.53486672639846,-202.32628653764726,99.2,192.2944076538086,221.9156463623047,-29.621238708496094,236.4703241168976,21.684280097165477,266.5989616394043,273.16350313186643,99.2
A,30,2,0,2.11584324916324,0.7081838112311284,1.4076594379321117,0.01651693973608932,1.0304795769659485,1.2716134586105983,1.5666573824944179,99.2,1.3660236159912045,True,True,-190.6847561478615,-220.236661028862,29.551904881000496,-234.74824118965864,21.64949362354787,-208.45997564315795,-202.1819253310561,99.2,-190.76982251405715,-220.39106122255325,29.621238708496094,-234.94573897714616,21.684280097165477,-208.53486672639846,-202.32628653764726,99.2,192.2944076538086,221.9156463623047,-29.621238708496094,236.4703241168976,21.684280097165477,266.5989616394043,273.16350313186643,99.2
C,30,2,0,6.823828542028153,-2.999052218381885,9.822880760410037,0.010491935569686035,1.810048001506564,2.294181081129903,2.9872124833089897,99.9,5.426862023677892,True,True,-291.1528127193451,-220.236661028862,-70.9161516904831,-234.74824118965864,21.64949362354787,-208.45997564315795,-202.1819253310561,1.2,-291.5745107769966,-220.39106122255325,-71.18344955444334,-234.94573897714616,21.684280097165477,-208.53486672639846,-202.32628653764726,1.2,293.09909591674807,221.9156463623047,71.18344955444337,236.4703241168976,21.684280097165477,266.5989616394043,273.16350313186643,1.2
G+C,30,2,0,1.7328724733910925,-0.043212704184855844,1.7760851775759483,0.01927563175742693,0.93752926313457,1.1358623662381118,1.5064764286742907,97.6,1.894431723269863,True,True,-221.913505589962,-220.236661028862,-1.6768445611000118,-234.74824118965864,21.64949362354787,-208.45997564315795,-202.1819253310561,70.6,-222.15969296693802,-220.39106122255325,-1.768631744384777,-234.94573897714616,21.684280097165477,-208.53486672639846,-202.32628653764726,70.4,223.68427810668945,221.9156463623047,1.7686317443847486,236.4703241168976,21.684280097165477,266.5989616394043,273.16350313186643,70.4
