candidate,round,replicate,best_score,second_best_score,absolute_margin,margin_per_K,Q_std,margin_relative_to_Q_std,best_assignment,second_assignment
Full,10,1,13.6630785216923,13.569246394394177,0.09383212729812307,0.009383212729812306,3.0447289081047604,0.03081789220982907,"[6, 8, 7, 2, 0, 3, 1, 4, 9, 5]","[6, 8, 7, 2, 0, 9, 1, 4, 3, 5]"
G,10,1,4.617460340482359,4.602792334608586,0.014668005873772927,0.0014668005873772927,0.9999999999999797,0.014668005873773225,"[6, 8, 7, 2, 0, 3, 1, 4, 9, 5]","[0, 8, 7, 2, 6, 3, 1, 4, 9, 5]"
A,10,1,4.634789319140481,4.620599117156575,0.014190201983906192,0.0014190201983906193,0.9999999999999796,0.014190201983906482,"[6, 8, 7, 2, 0, 3, 1, 4, 9, 5]","[0, 8, 7, 2, 6, 3, 1, 4, 9, 5]"
C,10,1,8.769174455467544,8.483975058503455,0.2851993969640887,0.02851993969640887,0.9999999997964785,0.28519939702213293,"[3, 9, 8, 0, 5, 7, 2, 1, 4, 6]","[3, 9, 8, 0, 5, 4, 2, 1, 7, 6]"
G+C,10,1,5.230414643222719,5.109920026609382,0.12049461661333716,0.012049461661333716,1.0641475207150948,0.11323112093741117,"[6, 8, 7, 0, 3, 4, 2, 1, 9, 5]","[6, 7, 8, 0, 3, 4, 2, 1, 9, 5]"
A+C,10,1,5.234847494386316,5.108626733121577,0.12622076126473925,0.012622076126473925,1.0637206694244086,0.118659686600843,"[6, 8, 7, 0, 3, 4, 2, 1, 9, 5]","[6, 7, 8, 0, 3, 4, 2, 1, 9, 5]"
G+A,10,1,9.25224965962284,9.22339145176516,0.028858207857680895,0.0028858207857680894,1.9999951065980557,0.014429139232629435,"[6, 8, 7, 2, 0, 3, 1, 4, 9, 5]","[0, 8, 7, 2, 6, 3, 1, 4, 9, 5]"
Full,10,2,14.434392799020005,14.395559263512835,0.038833535507169614,0.0038833535507169616,3.115785408905492,0.012463482047311788,"[8, 5, 6, 7, 0, 4, 1, 9, 3, 2]","[6, 5, 3, 8, 0, 4, 1, 7, 9, 2]"
G,10,2,4.971970053752023,4.969674359716112,0.002295694035910678,0.00022956940359106782,0.9999999999999781,0.0022956940359107284,"[8, 5, 6, 0, 3, 4, 1, 7, 9, 2]","[8, 5, 6, 0, 3, 4, 1, 2, 9, 7]"
A,10,2,4.993898783911993,4.990117009212275,0.0037817746997177437,0.0003781774699717744,0.9999999999999781,0.0037817746997178265,"[8, 5, 6, 0, 3, 4, 1, 2, 9, 7]","[8, 5, 6, 0, 3, 4, 1, 7, 9, 2]"
C,10,2,9.07907070010273,8.88300622919118,0.19606447091154955,0.019606447091154954,0.999999999798922,0.19606447095097382,"[3, 9, 8, 7, 5, 6, 2, 1, 4, 0]","[3, 9, 8, 0, 5, 7, 2, 1, 4, 6]"
G+C,10,2,4.885723092625413,4.8411610658285,0.04456202679691312,0.004456202679691312,1.1306678357689237,0.03941212917462024,"[6, 2, 3, 7, 0, 8, 1, 9, 4, 5]","[6, 2, 8, 7, 0, 4, 1, 9, 3, 5]"
A+C,10,2,4.897485163424227,4.844814064524819,0.05267109889940791,0.005267109889940791,1.1302101470065975,0.046602925162996654,"[6, 2, 3, 7, 0, 8, 1, 9, 4, 5]","[6, 2, 8, 7, 0, 4, 1, 9, 3, 5]"
G+A,10,2,9.963573143628103,9.962087062964297,0.0014860806638061774,0.00014860806638061774,1.9999948758262196,0.0007430422356418595,"[8, 5, 6, 0, 3, 4, 1, 2, 9, 7]","[8, 5, 6, 0, 3, 4, 1, 7, 9, 2]"
