round,clean_accuracy,fedrad_accuracy,delta_fedrad_minus_clean,delta_trailing_10_mean
101,60.86,61.96,1.1000000000000014,0.01200000000000051
102,59.78,61.21,1.4299999999999997,0.18700000000000053
103,55.58,57.26,1.6799999999999997,0.22100000000000083
104,64.31,65.51,1.2000000000000028,0.05800000000000059
105,63.5,60.43,-3.0700000000000003,-0.18699999999999967
106,45.93,38.95,-6.979999999999997,-0.8959999999999995
107,57.81,58.34,0.5300000000000011,-0.8859999999999992
108,66.79,66.58,-0.21000000000000796,-0.935
109,60.89,60.9,0.00999999999999801,-0.553
110,65.9,65.71,-0.19000000000001194,-0.4500000000000015
111,69.06,69.4,0.3400000000000034,-0.5260000000000014
112,65.8,65.36,-0.4399999999999977,-0.7130000000000011
113,60.32,60.23,-0.09000000000000341,-0.8900000000000015
114,58.94,58.61,-0.3299999999999983,-1.0430000000000017
115,65.9,65.17,-0.730000000000004,-0.8090000000000018
116,62.14,63.33,1.1899999999999977,0.007999999999997703
117,62.89,63.36,0.46999999999999886,0.001999999999997462
118,64.91,63.08,-1.8299999999999983,-0.16000000000000159
119,63.09,62.13,-0.9600000000000009,-0.25700000000000145
120,64.71,64.01,-0.6999999999999886,-0.30799999999999916
121,66.77,66.04,-0.7299999999999898,-0.41499999999999837
122,60.39,59.16,-1.230000000000004,-0.49399999999999905
123,59.1,54.61,-4.490000000000002,-0.9339999999999989
124,64.95,63.32,-1.6300000000000026,-1.0639999999999994
125,63.05,58.83,-4.219999999999999,-1.412999999999999
126,63.38,65.46,2.079999999999991,-1.3239999999999996
127,62.88,62.62,-0.2600000000000051,-1.397
128,70.12,71.35,1.2299999999999898,-1.0910000000000013
129,59.25,59.77,0.5200000000000031,-0.9430000000000008
130,68.17,67.11,-1.0600000000000023,-0.9790000000000021
131,67.51,67.71,0.19999999999998863,-0.8860000000000043
132,52.95,53.55,0.5999999999999943,-0.7030000000000045
133,63.95,63.15,-0.8000000000000043,-0.3340000000000046
134,67.46,68.12,0.6600000000000108,-0.10500000000000331
135,71.48,72.25,0.769999999999996,0.39399999999999624
136,68.8,70.08,1.2800000000000011,0.3139999999999972
137,63.02,63.87,0.8499999999999943,0.42499999999999716
138,60.99,61.06,0.07000000000000028,0.30899999999999817
139,70.58,70.92,0.3400000000000034,0.29099999999999826
140,68.63,68.03,-0.5999999999999943,0.336999999999999
141,67.78,65.43,-2.3499999999999943,0.08200000000000068
142,66.48,67.69,1.2099999999999937,0.14300000000000068
143,60.99,60.67,-0.3200000000000003,0.19100000000000106
