round,accuracy,Gamma,hungarian_score,baseline_score,changed_pairs,changed_fraction,assignment_margin,margin_per_K,margin_per_Q_std,Q_std,Q_interaction_std,probe_seconds,reliability_probe_seconds,formal_training_seconds,matching_seconds,peak_gpu_memory_bytes,G_mean,G_std,G_interaction_std,A_mean,A_std,A_interaction_std,D_mean,D_std,D_interaction_std,C_mean,C_std,C_interaction_std,D_positive_ratio,delta_fedrad_minus_clean,mean_reset_delta_norm,mean_active_reset_kernels,total_active_reset_kernels
31,47.01,1.6640180696881643,16.640180696881643,-4.855464278960419,10,1.0,0.04526005828321189,0.004526005828321189,0.014783373894120783,3.0615513486546813,1.563678775693466,15.182798300000059,0.0,8.172659900000099,0.0003285000000232685,425608192,-132.80688659071922,119.78572293289479,63.92302310324049,-133.03247587680818,119.88929239887264,63.97704546472906,133.03247587680818,119.88929239887264,63.97704546472906,0.0015913120726510166,0.0040352344729391604,0.002792864684898215,1.0,-1.490000000000002,10.183401644809635,75.0,750
32,36.64,1.6205114376200211,16.20511437620021,1.795214274839673,8,0.8,0.212429257202567,0.0212429257202567,0.07027398714674343,3.022871845295762,1.4023978642938715,15.500753499999973,0.0,9.68676100000016,0.00032250000003841706,425608192,-70.47772426366807,52.770864259193665,24.769189872036858,-70.6664219737053,52.79041705155398,24.763023727502553,70.6664219737053,52.79041705155398,24.763023727502553,0.004455188761217373,0.004164134078397601,0.0028747640277330447,1.0,-6.490000000000002,10.080851480940831,75.0,750
33,42.74,2.111612924463399,21.116129244633992,-1.3902621314891563,10,1.0,0.19739494031840366,0.019739494031840367,0.06504860466600164,3.0345760886332167,1.5814441648215116,15.196455099999866,0.0,8.528760200000079,0.00035320000006322516,425608192,-49.46143100321293,28.28088625144295,15.199347705776004,-49.69731817603111,28.330700681786574,15.237338260630276,49.69731817603111,28.330700681786574,15.237338260630276,0.002502243036143798,0.0036383123231145446,0.0026766076029160774,1.0,0.240000000000002,9.910799910703007,75.0,750
34,45.88,1.1055988143157223,11.055988143157222,-2.9699364203241467,9,0.9,0.06695240971920136,0.006695240971920135,0.021793232408052633,3.072165177959665,0.9940405971828639,14.633831699999973,0.0,9.11067550000007,0.0002982999999403546,425673728,-157.0160935473442,164.98559144291457,57.19593543612588,-157.19011173009872,164.98913944438866,57.20731334489555,157.19011173009872,164.98913944438866,57.20731334489555,0.0028332699886494395,0.003348847644209446,0.0024941155019291613,1.0,-1.019999999999996,9.80754494135334,75.0,750
35,42.47,1.0217135295725432,10.217135295725432,-2.8985908410244527,9,0.9,0.03646366020096892,0.003646366020096892,0.011889276329026144,3.0669368926977976,0.9277703583796127,15.374513100000058,0.0,8.166071599999896,0.00032289999990098295,427642880,-137.64281381309033,144.01767109217135,46.21027227035316,-137.92673918008805,144.05707087713654,46.32687699697766,137.92673918008805,144.05707087713654,46.32687699697766,0.003527735975402997,0.004767462218776954,0.003680447575622424,1.0,-1.990000000000002,9.612727822991802,75.0,750
36,48.56,0.8891856752966587,8.891856752966588,-3.768686094668796,8,0.8,0.05553991933189906,0.005553991933189906,0.01830317829491729,3.0344412558840803,1.0873845410040344,14.857161399999995,0.0,7.7689333000000715,0.00031520000015916594,425608192,-228.17121823132038,468.3401328487672,173.75600997311895,-228.4396684932709,468.4225894360184,173.78228767097352,228.4396684932709,468.4225894360184,173.78228767097352,0.0034845277143687138,0.0038030726245527266,0.0024885017952814637,1.0,-0.14999999999999858,9.532906659266818,75.0,750
37,33.84,1.5602927501186863,15.602927501186864,1.1842834474669302,10,1.0,0.31378684287575354,0.031378684287575356,0.10283264807755196,3.05143209614819,1.6660211219813061,14.455739600000015,0.0,10.235175799999979,0.00033710000002429297,425608192,-65.8281731325388,55.51165104127378,31.33010870311031,-65.99030898928642,55.57888133203068,31.386014239753564,65.99030898928642,55.57888133203068,31.386014239753564,0.0033777402046078916,0.0031565515717763993,0.002347744695910803,1.0,0.09000000000000341,9.309006368632748,75.0,750
38,44.21,1.5682546902822294,15.682546902822294,5.95783780365416,10,1.0,0.13308718299118993,0.013308718299118994,0.044152985653089255,3.014228392998339,1.514862431665993,14.442983899999945,0.0,10.076930500000117,0.0003100999999787746,426066944,-132.7989906042814,90.07456710097695,45.69918731175783,-133.00550544261932,90.14195756253903,45.71777267158982,133.00550544261932,90.14195756253903,45.71777267158982,0.0013631622854261033,0.0034899062468460107,0.0027867482293637913,1.0,-1.3999999999999986,9.255612045471933,75.0,750
39,42.58,1.5689824764423803,15.689824764423802,-8.170640789132463,10,1.0,0.4576962656814523,0.045769626568145226,0.15505583763067562,2.9518157631164446,1.3006902950086645,14.020389900000055,0.0,10.07491600000003,0.0003258000001551409,425608192,-62.62782593071461,47.571550266002326,21.631867295228478,-62.8167093539238,47.69336477658154,21.752536747644434,62.8167093539238,47.69336477658154,21.752536747644434,0.004344224911797423,0.00421596676678439,0.002974794947918324,1.0,-1.5500000000000043,9.089454862179268,75.0,750
40,47.31,0.7900905380528859,7.900905380528859,-3.0779503398612307,10,1.0,0.055557787899011224,0.005555778789901123,0.018364132408884626,3.0253423718581005,0.8299549103110685,13.905568899999935,0.0,9.36300540000002,0.0003268000000389293,425608192,-169.23867582261562,197.53668478401656,54.29258520320814,-169.45328107595444,197.58857385642028,54.29873716931343,169.45328107595444,197.58857385642028,54.29873716931343,0.0041200676480267736,0.004151452414789236,0.0023363279037691186,1.0,-0.0899999999999963,9.018520314095358,75.0,750
41,47.18,1.3556423501159394,13.556423501159394,0.4826906700393231,8,0.8,0.07312925074063692,0.007312925074063692,0.02427345725414606,3.012724968469252,1.277774685710403,13.864719900000182,0.0,8.4143239,0.0003301000001556531,425608192,-58.060489253401755,47.47162151269098,21.50649593945219,-58.21715128898621,47.544881531168045,21.594847504427644,58.21715128898621,47.544881531168045,21.594847504427644,0.005098743908689252,0.003577742332296833,0.002788653654683241,1.0,0.7299999999999969,8.910135012276486,75.0,750
42,39.56,1.7259096011801653,17.259096011801653,0.28247970001348066,10,1.0,0.0153411361993534,0.00153411361993534,0.0051054581877992495,3.0048500320725036,1.2996154190572051,13.944735900000069,0.0,10.573675699999967,0.000333100000034392,425608192,-81.39908529281617,60.39495595277587,27.678522533883903,-81.59964689731598,60.445833721985586,27.752586439655,81.59964689731598,60.445833721985586,27.752586439655,0.003964446346435643,0.004035165339331844,0.0032438512545170904,1.0,-0.05999999999999517,8.71690883394388,75.0,750
43,46.75,1.2071429739908923,12.071429739908924,-4.836590958062306,10,1.0,0.1892512380005691,0.018925123800056908,0.06466101286244186,2.926821427978204,1.1104357268870453,13.776436999999987,0.0,8.646188700000039,0.0003309999999601132,425608192,-154.70654494404792,91.55739570033143,35.76667710044577,-154.98609723567964,91.6571353974577,35.82778507766979,154.98609723567964,91.6571353974577,35.82778507766979,0.0022678518852656503,0.003947638126479419,0.0030219216497589653,1.0,0.28000000000000114,8.679310461846674,75.0,750
