candidate,round,source_replicates,heldout_replicate,single_Q_int_pearson,averaged_Q_int_pearson,delta_Q_int_pearson,single_Q_int_spearman,averaged_Q_int_spearman,delta_Q_int_spearman,single_functional_percentile,averaged_functional_percentile,delta_functional_percentile,single_heldout_optimal_overlap,averaged_heldout_optimal_overlap,delta_heldout_optimal_overlap,single_exact_heldout_fraction,averaged_exact_heldout,source_single_pair_overlap,averaged_to_source_overlap,single_margin_per_K,averaged_margin_per_K,delta_margin_per_K,single_margin_relative_Q_std,averaged_margin_relative_Q_std,delta_margin_relative_Q_std,single_G_vs_baseline,averaged_G_vs_baseline,single_G_quality_percentile,averaged_G_quality_percentile,single_A_vs_baseline,averaged_A_vs_baseline,single_A_quality_percentile,averaged_A_quality_percentile,single_adapted_loss_vs_baseline,averaged_adapted_loss_vs_baseline,single_adapted_loss_quality_percentile,averaged_adapted_loss_quality_percentile
Full,20,"[0, 2]",1,0.35005748267312514,0.37775003554481784,0.0276925528716927,0.4017281728172817,0.45148514851485144,0.04975697569756976,98.60000000000001,95.59999999999998,-3.0000000000000284,0.25,0.4,0.15000000000000002,0.0,False,0.3,0.55,0.0018740171352741087,0.024935138855120796,0.023061121719846686,0.006339294005465522,0.08375472036656519,0.07741542636109966,17.45872719287872,12.527209520339966,98.6,95.6,17.4945915222168,12.557407951354989,98.6,95.6,-17.494591522216794,-12.557407951354975,98.6,95.6
G,20,"[0, 2]",1,0.3964033141830654,0.4251431446043693,0.028739830421303902,0.45501350135013496,0.5079267926792678,0.052913291329132806,93.30000000000001,96.13333333333333,2.8333333333333144,0.2,0.4,0.2,0.0,False,0.2,0.5,0.003420800509377386,0.00434428434698475,0.0009234838376073642,0.03420800509377454,0.043442843469848565,0.009234838376074021,11.82375028729438,13.4837000131607,93.2,96.0,11.87782907485962,13.556683540344238,93.35,96.2,-11.87782907485962,-13.556683540344238,93.35,96.2
Full,20,"[0, 1]",2,0.5273436644249409,0.6313821830157543,0.10403851859081348,0.535037503750375,0.6653105310531051,0.13027302730273016,98.21666666666667,99.5,1.2833333333333314,0.3,0.4,0.10000000000000003,0.0,False,0.2,0.5,0.007207555779758667,0.02506377211358295,0.017856216333824282,0.023814959854835713,0.08297591259065427,0.05916095273581856,15.270662641525263,17.38270478248596,98.25,99.5,15.20894632339477,17.333328247070312,98.2,99.5,-15.208946323394777,-17.333328247070312,98.2,99.5
G,20,"[0, 1]",2,0.5571878649499976,0.6535146990076898,0.09632683405769216,0.5614581458145814,0.6824722472247224,0.12101410141014102,99.51666666666667,99.83333333333333,0.3166666666666629,0.2,0.2,0.0,0.0,False,0.2,0.6,0.00717928468992568,0.01573565948150275,0.00855637479157707,0.07179284689925802,0.15735659481503048,0.08556374791577245,18.35615795254707,20.435057640075676,99.55000000000001,99.9,18.321503543853755,20.403151702880855,99.5,99.8,-18.321503543853762,-20.403151702880862,99.5,99.8
Full,40,"[1, 2]",0,0.5311703269485775,0.6233513707477453,0.0921810437991678,0.5468346834683468,0.614161416141614,0.06732673267326716,77.48333333333335,98.5,21.01666666666665,0.25,0.3,0.04999999999999999,0.0,False,0.4,0.5,0.00936039442117309,0.012426383226453019,0.003065988805279928,0.03139417750994282,0.04182339838910523,0.010429220879162412,18.35199941992758,26.355518245697,77.45,98.5,18.354050254821786,26.37121887207033,77.5,98.5,-18.354050254821786,-26.37121887207033,77.5,98.5
G,40,"[1, 2]",0,0.5279617959144474,0.6125467705212173,0.08458497460676995,0.5469666966696669,0.6062886288628863,0.05932193219321935,75.16666666666669,99.90000000000002,24.733333333333334,0.35,0.5,0.15000000000000002,0.0,False,0.2,0.4,0.0023412597591471185,0.0012886246775766885,-0.00105263508157043,0.023412597591471344,0.012886246775766965,-0.01052635081570438,17.175170058012,33.805311965942366,75.2,99.9,17.20203819274903,33.81597595214845,75.15,99.9,-17.20203819274903,-33.81597595214845,75.15,99.9
Full,40,"[0, 2]",1,0.6255128523767528,0.7527217610355332,0.12720890865878043,0.606078607860786,0.6835043504350434,0.07742574257425738,99.55,99.7,0.15000000000000568,0.35,0.4,0.050000000000000044,0.0,False,0.2,0.6,0.011749738523306387,0.022202383954005356,0.01045264543069897,0.03930040130226137,0.07466513010516236,0.035364728802900994,60.83127621412278,62.27482246160508,99.55,99.7,60.80591678619386,62.22756156921389,99.55,99.7,-60.80591678619385,-62.22756156921386,99.55,99.7
G,40,"[0, 2]",1,0.6268597659964965,0.7520122925725657,0.12515252657606923,0.6188058805880587,0.6816801680168016,0.0628742874287429,99.67499999999998,99.59999999999998,-0.07500000000000284,0.30000000000000004,0.4,0.09999999999999998,0.0,False,0.3,0.65,0.0020525917937863182,0.004395263609601718,0.0023426718158153998,0.020525917937863326,0.043952636096017475,0.02342671815815415,61.413723886013045,59.59224207401277,99.675,99.6,61.40658130645754,59.54971427917482,99.675,99.6,-61.406581306457525,-59.54971427917482,99.675,99.6
Full,40,"[0, 1]",2,0.4805190955809893,0.5312664780228967,0.05074738244190741,0.4527032703270326,0.4605100510051005,0.007806780678067893,87.38333333333334,62.03333333333333,-25.35000000000001,0.30000000000000004,0.2,-0.10000000000000003,0.0,False,0.3,0.6,0.01409748582946908,0.0016962690890961695,-0.01240121674037291,0.04698160575026786,0.005665124365010663,-0.041316481385257196,20.207592260837544,7.009520888328552,87.55000000000001,62.3,20.16669273376465,6.934389686584467,87.30000000000001,61.9,-20.16669273376465,-6.934389686584467,87.30000000000001,61.9
G,40,"[0, 1]",2,0.4966001884717963,0.5513210007516409,0.0547208122798446,0.4966096609660965,0.5078427842784278,0.011233123312331283,89.66666666666669,93.3,3.6333333333333115,0.25,0.2,-0.04999999999999999,0.0,False,0.4,0.65,0.0012177183649068057,0.0011271782007233,-9.054016418350583e-05,0.012177183649068115,0.01127178200723306,-0.000905401641835054,24.274414801597587,20.8215195417404,89.7,93.3,24.237986183166505,20.815168190002453,89.65,93.3,-24.237986183166512,-20.815168190002453,89.65,93.3
