protocol,candidate,round,source_replicate,heldout_replicate,functional_percentile,heldout_G,baseline_G,G_vs_baseline,random_G_mean,random_G_std,random_G_p90,random_G_p95,G_quality_percentile,heldout_A,baseline_A,A_vs_baseline,random_A_mean,random_A_std,random_A_p90,random_A_p95,A_quality_percentile,heldout_adapted_loss,baseline_adapted_loss,adapted_loss_vs_baseline,random_adapted_loss_mean,random_adapted_loss_std,random_adapted_loss_p90,random_adapted_loss_p95,adapted_loss_quality_percentile,source_replicates
P1_32_64,Full,1,0,1,93.56666666666666,0.33439362049102783,0.2083522081375122,0.12604141235351562,0.1962474710226059,0.06447691085799,0.27902970075607303,0.2972309410572052,99.1,0.24485454559326172,0.17706019878387452,0.0677943468093872,0.17431679924726484,0.05281350977896962,0.24283145904541015,0.2543908059597015,90.8,2.384085750579834,2.451880097389221,-0.06779434680938712,2.454623496925831,0.05281350977896962,2.5258788239955905,2.5440246391296384,90.8,
P1_32_64,Full,1,0,2,94.10000000000001,0.5794010818004608,0.5399685144424439,0.03943256735801692,0.4688989337921142,0.04489266512388591,0.5287628459930419,0.5410184377431869,99.5,0.4918506801128387,0.5040160655975342,-0.012165385484695479,0.444875549519062,0.03269360726957552,0.48920531392097477,0.5023177909851074,91.4,2.111376005411148,2.0992106199264526,0.012165385484695257,2.158351136004925,0.03269360726957552,2.1994178992509843,2.2083054411411283,91.4,
P1_32_64,Full,1,1,0,82.66666666666667,0.3883350729942322,0.3400955438613892,0.04823952913284302,0.2767018506407738,0.06212466293402509,0.3591802287101745,0.37557784736156463,97.2,0.2894035458564758,0.2951464056968689,-0.0057428598403930775,0.25033312149047854,0.04969646349081962,0.31358725666999815,0.3264360547065735,75.4,2.324834406375885,2.3190915465354918,0.005742859840393244,2.3639048307418826,0.04969646349081962,2.4341248083114624,2.4471075850725175,75.4,
P1_32_64,Full,1,1,2,87.13333333333333,0.5684571743011475,0.5399685144424439,0.028488659858703635,0.4688989337921142,0.04489266512388591,0.5287628459930419,0.5410184377431869,99.0,0.4758127450942993,0.5040160655975342,-0.028203320503234874,0.444875549519062,0.03269360726957552,0.48920531392097477,0.5023177909851074,81.2,2.1274139404296877,2.0992106199264526,0.02820332050323504,2.158351136004925,0.03269360726957552,2.1994178992509843,2.2083054411411283,81.2,
P1_32_64,Full,1,2,0,62.79999999999999,0.3165795922279358,0.3400955438613892,-0.02351595163345338,0.2767018506407738,0.06212466293402509,0.3591802287101745,0.37557784736156463,72.0,0.2642617106437683,0.2951464056968689,-0.030884695053100597,0.25033312149047854,0.04969646349081962,0.31358725666999815,0.3264360547065735,58.2,2.3499762415885925,2.3190915465354918,0.030884695053100764,2.3639048307418826,0.04969646349081962,2.4341248083114624,2.4471075850725175,58.2,
P1_32_64,Full,1,2,1,79.50000000000001,0.2597843885421753,0.2083522081375122,0.051432180404663075,0.1962474710226059,0.06447691085799,0.27902970075607303,0.2972309410572052,82.7,0.21941488981246948,0.17706019878387452,0.04235469102859496,0.17431679924726484,0.05281350977896962,0.24283145904541015,0.2543908059597015,77.9,2.4095254063606264,2.451880097389221,-0.04235469102859479,2.454623496925831,0.05281350977896962,2.5258788239955905,2.5440246391296384,77.9,
P1_32_64,Full,20,0,1,98.3,-59.723317611217496,-73.42405630350113,13.700738692283636,-73.2296433442831,6.940065491538765,-64.09676943898201,-62.210231604576116,98.3,-59.81178481578827,-73.51337735652923,13.701592540740961,-73.36259777259826,6.9587720560728155,-64.27057643413544,-62.30969918489456,98.3,61.61518096923828,75.31677350997924,-13.701592540740961,75.16599392604827,6.9587720560728155,84.19109636306763,86.88997181177139,98.3,
P1_32_64,Full,20,0,2,99.5,-57.69359043836594,-75.76654316186905,18.072952723503114,-76.40709718681573,7.982289336946398,-65.1242769408226,-62.93799498438835,99.5,-57.79382176399231,-75.82999196052552,18.036170196533206,-76.53040097007752,7.997833997573677,-65.21949202537537,-63.034453830718995,99.5,59.66823024749756,77.70440044403077,-18.036170196533206,78.40480945358277,7.997833997573677,88.6137360572815,91.37756285667419,99.5,
P1_32_64,Full,20,1,0,96.86666666666667,-48.84422641992569,-60.29383426904678,11.449607849121094,-61.98592696917057,7.723936127251315,-52.27239850282669,-50.42791502952576,96.8,-48.96530464887619,-60.38054560422897,11.415240955352779,-62.120423651981355,7.741835984762535,-52.34775059461593,-50.56613018751145,96.9,50.76478204727173,62.18002300262451,-11.415240955352779,63.91990105037689,7.741835984762535,74.0353746509552,78.19516501426696,96.9,
P1_32_64,Full,20,1,2,98.40000000000002,-60.351753973960875,-75.76654316186905,15.414789187908177,-76.40709718681573,7.982289336946398,-65.1242769408226,-62.93799498438835,98.4,-60.482564210891724,-75.82999196052552,15.347427749633795,-76.53040097007752,7.997833997573677,-65.21949202537537,-63.034453830718995,98.4,62.35697269439697,77.70440044403077,-15.347427749633795,78.40480945358277,7.997833997573677,88.6137360572815,91.37756285667419,98.4,
P1_32_64,Full,20,2,0,99.2,-46.33290747404099,-60.29383426904678,13.960926795005797,-61.98592696917057,7.723936127251315,-52.27239850282669,-50.42791502952576,99.2,-46.39274348020554,-60.38054560422897,13.987802124023432,-62.120423651981355,7.741835984762535,-52.34775059461593,-50.56613018751145,99.2,48.19222087860108,62.18002300262451,-13.987802124023432,63.91990105037689,7.741835984762535,74.0353746509552,78.19516501426696,99.2,
P1_32_64,Full,20,2,1,96.76666666666667,-61.26472418308258,-73.42405630350113,12.159332120418554,-73.2296433442831,6.940065491538765,-64.09676943898201,-62.210231604576116,96.7,-61.28308360576629,-73.51337735652923,12.23029375076294,-73.36259777259826,6.9587720560728155,-64.27057643413544,-62.30969918489456,96.8,63.08647975921631,75.31677350997924,-12.230293750762932,75.16599392604827,6.9587720560728155,84.19109636306763,86.88997181177139,96.8,
P1_32_64,Full,40,0,1,98.5,-185.91115189790725,-240.26367204189302,54.35252014398577,-219.51510912668704,15.887585911568683,-199.25430466175078,-193.79934605777265,98.5,-186.28976082205773,-240.5425722539425,54.252811431884766,-219.79129515566825,15.893047480079415,-199.55082479834556,-194.0913161790371,98.5,187.75303115844727,242.00584259033204,-54.252811431884766,221.2545654920578,15.893047480079415,242.4876146888733,247.11346847057342,98.5,
