candidate,round,replicate,best_score,second_best_score,absolute_margin,margin_per_K,Q_std,margin_relative_to_Q_std,best_assignment,second_assignment
A+C,1,2,3.5012607731579113,3.458117033113534,0.04314374004437749,0.004314374004437749,1.0847996267349407,0.03977116048079099,"[8, 0, 2, 6, 1, 3, 4, 5, 7, 9]","[0, 7, 2, 6, 1, 3, 4, 5, 8, 9]"
G+A,1,2,4.714213683472698,4.69428938434719,0.01992429912550797,0.001992429912550797,1.9961482682417833,0.009981372347184103,"[0, 2, 3, 6, 1, 7, 4, 5, 8, 9]","[0, 2, 3, 6, 1, 9, 4, 5, 8, 7]"
Full,5,0,9.222550091132225,9.119141853505694,0.10340823762653173,0.010340823762653172,3.0531143893017676,0.03386975541724812,"[6, 7, 4, 1, 9, 8, 5, 2, 3, 0]","[6, 7, 3, 4, 9, 8, 5, 2, 1, 0]"
G,5,0,3.1047681276288857,3.099179917801132,0.005588209827753765,0.0005588209827753765,0.9999999999999837,0.005588209827753856,"[1, 7, 4, 8, 9, 6, 5, 2, 3, 0]","[6, 7, 4, 8, 9, 1, 5, 2, 3, 0]"
A,5,0,3.1053323663264334,3.1006415001603678,0.0046908661660656215,0.00046908661660656216,0.9999999999999836,0.004690866166065699,"[1, 7, 4, 8, 9, 6, 5, 2, 3, 0]","[6, 7, 4, 8, 9, 1, 5, 2, 3, 0]"
C,5,0,7.286860496605167,7.247486034813739,0.039374461791427784,0.0039374461791427786,0.9999999998641939,0.039374461796775076,"[9, 7, 0, 5, 8, 3, 2, 6, 1, 4]","[9, 7, 0, 5, 8, 6, 2, 3, 1, 4]"
G+C,5,0,3.642856977056856,3.551025458621785,0.09183151843507087,0.009183151843507088,1.0723097197681266,0.08563898726473194,"[9, 7, 0, 3, 2, 8, 5, 6, 1, 4]","[9, 7, 0, 1, 2, 8, 5, 6, 3, 4]"
A+C,5,0,3.621511288172846,3.5330745578348495,0.08843673033799648,0.008843673033799649,1.0716603192289156,0.08252309873862713,"[9, 7, 0, 3, 2, 8, 5, 6, 1, 4]","[9, 7, 0, 1, 2, 8, 5, 6, 3, 4]"
G+A,5,0,6.210100493955319,6.199821417961499,0.01027907599381983,0.001027907599381983,1.999995074372465,0.005139550654666026,"[1, 7, 4, 8, 9, 6, 5, 2, 3, 0]","[6, 7, 4, 8, 9, 1, 5, 2, 3, 0]"
Full,5,1,7.854577869204354,7.823460071316653,0.03111779788770086,0.003111779788770086,3.078050237827781,0.010109580898088617,"[4, 7, 1, 9, 0, 8, 2, 6, 3, 5]","[4, 7, 3, 9, 0, 8, 2, 6, 1, 5]"
G,5,1,2.6375856025022175,2.6324737214504776,0.005111881051739875,0.0005111881051739875,0.9999999999999791,0.005111881051739982,"[4, 9, 3, 8, 0, 7, 2, 1, 6, 5]","[4, 9, 3, 8, 0, 1, 2, 7, 6, 5]"
A,5,1,2.6422520758133228,2.6420279036337844,0.00022417217953840662,2.2417217953840664e-05,0.9999999999999792,0.00022417217953841129,"[4, 9, 3, 8, 0, 7, 2, 1, 6, 5]","[4, 9, 3, 8, 0, 1, 2, 7, 6, 5]"
C,5,1,6.858648376099373,6.815467266845153,0.043181109254219585,0.004318110925421959,0.9999999998678929,0.04318110925992412,"[9, 1, 0, 5, 7, 3, 2, 6, 4, 8]","[9, 1, 0, 5, 2, 3, 7, 6, 4, 8]"
G+C,5,1,3.012729048785708,3.006024724777802,0.006704324007906326,0.0006704324007906326,1.0958948214508144,0.006117671036195536,"[9, 7, 8, 3, 2, 4, 0, 6, 1, 5]","[9, 7, 8, 3, 0, 4, 2, 6, 1, 5]"
A+C,5,1,3.0000987951080296,2.996211530926823,0.00388726418120644,0.000388726418120644,1.095090411369992,0.0035497198595167614,"[9, 7, 8, 3, 0, 4, 2, 6, 1, 5]","[9, 7, 8, 3, 2, 4, 0, 6, 1, 5]"
G+A,5,1,5.27983767831554,5.274501625084263,0.005336053231276949,0.0005336053231276949,1.9999914228136948,0.00266803805776822,"[4, 9, 3, 8, 0, 7, 2, 1, 6, 5]","[4, 9, 3, 8, 0, 1, 2, 7, 6, 5]"
Full,5,2,9.87274093418686,9.830380580418424,0.04236035376843539,0.004236035376843539,3.0852984443666025,0.013729742691758227,"[9, 7, 4, 8, 2, 6, 5, 1, 3, 0]","[4, 7, 1, 9, 2, 8, 5, 6, 3, 0]"
