candidate,round,source_replicate,heldout_replicate,cross_score,baseline_score,cross_minus_baseline,random_mean,random_std,random_p90,random_p95,cross_percentile,cross_minus_baseline_random_std,cross_above_baseline,cross_above_random_p90,heldout_G,baseline_G,G_vs_baseline,random_G_mean,random_G_std,random_G_p90,random_G_p95,G_quality_percentile,heldout_A,baseline_A,A_vs_baseline,random_A_mean,random_A_std,random_A_p90,random_A_p95,A_quality_percentile,heldout_adapted_loss,baseline_adapted_loss,adapted_loss_vs_baseline,random_adapted_loss_mean,random_adapted_loss_std,random_adapted_loss_p90,random_adapted_loss_p95,adapted_loss_quality_percentile
G+A,1,1,0,1.1922482203746934,0.8203151331101746,0.3719330872645188,0.00435893715474729,0.8010415895973452,1.0161933315689031,1.2329856679596893,94.3,0.46431183111413254,True,True,0.2966845273971558,0.25282821655273435,0.04385631084442143,0.1987684033870697,0.052714470690991576,0.26534682989120484,0.28070395171642304,97.6,0.21502342224121093,0.21564872264862062,-0.0006253004074096846,0.17523717318773271,0.041527079361686446,0.22687631249427795,0.23968899965286253,82.5,2.412578010559082,2.4119527101516725,0.0006253004074094903,2.45236425961256,0.041527079361686446,2.510818234682083,2.523663140535355,82.5
Full,1,1,2,2.7739729328719367,3.7650996504576257,-0.991126717585689,-0.1552718464255422,2.1393889375442368,2.6463702150057786,3.242058370753653,91.1,-0.46327561117679905,False,True,0.5083571672439575,0.5175166189670563,-0.009159451723098733,0.4401974655151367,0.04599917190941918,0.5010490244626998,0.5179352626204491,92.3,0.4161228537559509,0.48350648283958436,-0.06738362908363343,0.41387963891029356,0.03464747411822657,0.4607133138179779,0.47194076657295225,52.4,2.20753253698349,2.1401489078998566,0.0673836290836336,2.2097757518291474,0.03464747411822658,2.2537068247795107,2.2677051442861558,52.4
G,1,1,2,1.0737905620137342,1.0757633838776828,-0.0019728218639485373,-0.040110338522353045,0.6638622500930708,0.8381022720035421,1.081805269115873,94.8,-0.002971733765057368,False,True,0.5173799216747283,0.5175166189670563,-0.00013669729232790306,0.4401974655151367,0.04599917190941918,0.5010490244626998,0.5179352626204491,94.8,0.42007684111595156,0.48350648283958436,-0.0634296417236328,0.41387963891029356,0.03464747411822657,0.4607133138179779,0.47194076657295225,57.3,2.203578549623489,2.1401489078998566,0.06342964172363263,2.2097757518291474,0.03464747411822658,2.2537068247795107,2.2677051442861558,57.3
A,1,1,2,0.016500040083024747,0.9832100023707041,-0.9667099622876794,-0.0401749781310048,0.5092533658558999,0.6481928521112771,0.8132155053052365,54.3,-1.8982888029869656,False,False,0.4579602420330048,0.5175166189670563,-0.05955637693405147,0.4401974655151367,0.04599917190941918,0.5010490244626998,0.5179352626204491,63.6,0.4177355706691742,0.48350648283958436,-0.06577091217041015,0.41387963891029356,0.03464747411822657,0.4607133138179779,0.47194076657295225,54.3,2.2059198200702665,2.1401489078998566,0.06577091217040998,2.2097757518291474,0.03464747411822658,2.2537068247795107,2.2677051442861558,54.3
C,1,1,2,6.294792115236623,2.4359626617003127,3.8588294535363103,-0.09533765099792584,2.091544006418469,2.5144290471839312,3.268311807886979,99.8,1.8449668960798564,True,True,0.4671198964118958,0.5175166189670563,-0.05039672255516048,0.4401974655151367,0.04599917190941918,0.5010490244626998,0.5179352626204491,72.1,0.39119027853012084,0.48350648283958436,-0.09231620430946352,0.41387963891029356,0.03464747411822657,0.4607133138179779,0.47194076657295225,27.1,2.23246511220932,2.1401489078998566,0.09231620430946341,2.2097757518291474,0.03464747411822658,2.2537068247795107,2.2677051442861558,27.1
G+C,1,1,2,2.7354239164814604,1.6847540493027613,1.0506698671786991,-0.06394475127183452,1.0206225606502228,1.2420440036982454,1.634354147490211,99.9,1.0294401747393607,True,True,0.5083571672439575,0.5175166189670563,-0.009159451723098733,0.4401974655151367,0.04599917190941918,0.5010490244626998,0.5179352626204491,92.3,0.4161228537559509,0.48350648283958436,-0.06738362908363343,0.41387963891029356,0.03464747411822657,0.4607133138179779,0.47194076657295225,52.4,2.20753253698349,2.1401489078998566,0.0673836290836336,2.2097757518291474,0.03464747411822658,2.2537068247795107,2.2677051442861558,52.4
A+C,1,1,2,1.7846462820345008,1.5922006677957823,0.19244561423871853,-0.06400939088048631,0.8184467173500499,0.9539750387621189,1.3129699440161937,99.0,0.23513517759813982,True,True,0.5083571672439575,0.5175166189670563,-0.009159451723098733,0.4401974655151367,0.04599917190941918,0.5010490244626998,0.5179352626204491,92.3,0.4161228537559509,0.48350648283958436,-0.06738362908363343,0.41387963891029356,0.03464747411822657,0.4607133138179779,0.47194076657295225,52.4,2.20753253698349,2.1401489078998566,0.0673836290836336,2.2097757518291474,0.03464747411822658,2.2537068247795107,2.2677051442861558,52.4
G+A,1,1,2,1.1232705548031086,2.058973386248387,-0.9357028314452784,-0.08028531665335795,1.1401373452052945,1.4328854727862939,1.8342615576418733,85.2,-0.8206930817416516,False,False,0.5113909542560577,0.5175166189670563,-0.006125664710998513,0.4401974655151367,0.04599917190941918,0.5010490244626998,0.5179352626204491,93.2,0.42585993409156797,0.48350648283958436,-0.05764654874801639,0.41387963891029356,0.03464747411822657,0.4607133138179779,0.47194076657295225,64.6,2.197795456647873,2.1401489078998566,0.057646548748016446,2.2097757518291474,0.03464747411822658,2.2537068247795107,2.2677051442861558,64.6
Full,1,2,0,0.8213017568619603,1.630806628719268,-0.8095048718573077,-0.0037909175239448025,1.3314205415216147,1.6559733396815157,2.076788530140457,70.2,-0.6080008882333786,False,False,0.2060298204421997,0.25282821655273435,-0.04679839611053466,0.1987684033870697,0.052714470690991576,0.26534682989120484,0.28070395171642304,54.3,0.15902321338653563,0.21564872264862062,-0.05662550926208498,0.17523717318773271,0.041527079361686446,0.22687631249427795,0.23968899965286253,34.4,2.4685782194137573,2.4119527101516725,0.05662550926208487,2.45236425961256,0.041527079361686446,2.510818234682083,2.523663140535355,34.4
G,1,2,0,0.1858690469927361,0.4653019109908002,-0.2794328639980641,0.00014488382814872036,0.45358104364756135,0.5730181723636774,0.7051583466573288,64.4,-0.6160593964662845,False,False,0.22035297155380248,0.25282821655273435,-0.03247524499893187,0.1987684033870697,0.052714470690991576,0.26534682989120484,0.28070395171642304,64.4,0.1686233401298523,0.21564872264862062,-0.04702538251876831,0.17523717318773271,0.041527079361686446,0.22687631249427795,0.23968899965286253,42.2,2.4589780926704408,2.4119527101516725,0.04702538251876831,2.45236425961256,0.041527079361686446,2.510818234682083,2.523663140535355,42.2
